"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2793","RT @morninggloria: Fuck Harvey Weinstein and fuck Steve Wynn and if you think one deserves condemnation and the other doesn’t: fuck you",FALSE,0,NA,2018-01-27 20:11:03,FALSE,NA,"957345228297592832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mesopotamiax",145,TRUE,FALSE,NA,NA
"2794","RT @Lin_Manuel: I love how @illmindPRODUCER took that idea and grabbed Hurricane's ""wait for it..."" before each verse, it's bonkers. Illy i…",FALSE,0,NA,2018-01-27 20:11:00,FALSE,NA,"957345214787710976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ccrazymonkey",42,TRUE,FALSE,NA,NA
"2795","RT @MariaLiaCalvo: For the people who love to tweet pictures of Hillary and Harvey Weinstein, I give you: Trump and Steve Wynn. https://t.c…",FALSE,0,NA,2018-01-27 20:10:57,FALSE,NA,"957345201713963008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DontElectTrump",102,TRUE,FALSE,NA,NA
"2796","RT @Otpor17: Steve Wynn has donated over $2 million to @GOP campaigns, party organs, &amp; interest groups since 2001, including over $1.3 mill…",FALSE,0,NA,2018-01-27 20:10:53,FALSE,NA,"957345184446107649",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PiaOption",9,TRUE,FALSE,NA,NA
"2797","Harvey Weinstein's former assistant was required to clean up after his sexual ""encounters"" https://t.co/CpDwArftsA https://t.co/O3NPkD0oI2",FALSE,4,NA,2018-01-27 20:10:52,FALSE,NA,"957345183179464706",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Cosmopolitan",7,FALSE,FALSE,NA,NA
"2798","RT @JenAnneHarvey: Happy to have my story 'Feathered' over at the #sideshow @five2onemag 
Includes an audio recording of me reading it <ed><U+00A0><U+00BD><ed><U+00B9><U+0082>

h…",FALSE,0,NA,2018-01-27 20:10:50,FALSE,NA,"957345175021457408",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","shirl1001",14,TRUE,FALSE,NA,NA
"2799","RT @washingtonpost: Will RNC return Steve Wynn’s donations after calling on DNC to return Harvey Weinstein’s https://t.co/CmL04lo4wh",FALSE,0,NA,2018-01-27 20:10:50,FALSE,NA,"957345172072747008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZachQuackery",3662,TRUE,FALSE,NA,NA
"2800","RT @abc13houston: When Houston was in need, we didn't even need to call the Cajuns, they just came and helped us. Now, they need something…",FALSE,0,NA,2018-01-27 20:10:48,FALSE,NA,"957345166301462534",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","beauti4evr66",24,TRUE,FALSE,NA,NA
"2801","@PeteOlson The GOP controls the entire government, but has repeatedly failed the victims of Harvey on this issue. A… https://t.co/h3adUb5lDH",FALSE,0,"PeteOlson",2018-01-27 20:10:43,TRUE,"956983226609885186","957345145401303040","12726012","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SriPKulkarni",0,FALSE,FALSE,NA,NA
"2802","#childrenoftheholocaust a programme which should be seen by as wide an audience as possible.     Animated first-han… https://t.co/3MBiRfHNHP",FALSE,0,NA,2018-01-27 20:10:43,TRUE,NA,"957345145380327427",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mary_Harvey",1,FALSE,FALSE,NA,NA
